Brand,Model,Price,Ratings,Capacity(kg),Machine Type,Load Type,Warranty(Years)
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
BOSCH,with In-built Heater,29820,,7.0,Fully Automatic,Front Load,2.0
Voltas,Beko by A Tata Product,12999,4.3,8.0,Semi Automatic,Top Load,2.0
LG,with Steam Wi-Fi Enabled with In-built Heater Silv...,50890,,11.0,Fully Automatic,Front Load,1.0
TOSHIBA,Inverter COLOR ALIVE Drum Clean Technology w...,27876,,7.0,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
IFB,with In-built Heater,23930,,8.0,Fully Automatic,Top Load,4.0
IFB,with In-built Heater,28919,,7.0,Fully Automatic,Front Load,4.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Samsung,with Wi-Fi Enabled5 Star,42990,4.6,9.0,Fully Automatic,Front Load,
Lloyd,by Havells,17899,3.7,6.5,Fully Automatic,Top Load,2.0
Godrej,with In-built Heater,29480,3.5,8.0,Fully Automatic,Front Load,2.0
Whirlpool,with In-built Heater,19490,,7.5,Fully Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Sharp,NA,11990,,9.0,Semi Automatic,Top Load,2.0
BOSCH,with In-built Heater,45000,,10.0,Fully Automatic,Front Load,3.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Lloyd,by Havells,17499,,7.0,Fully Automatic,Top Load,
BOSCH,Maroon,20490,,6.5,Fully Automatic,Top Load,2.0
IFB,8.5/ Washer with Dryer Refresher 3-in-1 Laundrimagic Wi-Fi Enabled Inverter with Steam Ready...,58990,4.0,6.5,,,4.0
TOSHIBA,with In-built Heater,29700,3.3,7.5,Fully Automatic,Front Load,4.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
TOSHIBA,with In-built Heater,33900,5.0,8.0,Fully Automatic,Front Load,4.0
LG,with Inverter with In-built Heater,41990,4.5,9.0,Fully Automatic,Front Load,
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
LG,with Inverter with In-built Heater,36990,4.2,7.0,Fully Automatic,Front Load,
Samsung,with In-built Heater,41970,,9.0,Fully Automatic,Front Load,2.0
LG,withWi-Fi Enabled with In-built Heater,48990,3.9,11.0,Fully Automatic,Front Load,1.0
Samsung,with Steam,35000,4.3,6.5,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
LG,with In-built Heater,36990,4.3,7.0,Fully Automatic,Front Load,
Samsung,10 Washer with Dryer with Wi-Fi EnabledReady to Wear Clothes with In-built Heater,74990,,,,,3.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Samsung,8/ Washer with Dryer With Steam AI Control Wi-Fi EnabledReady to Wear Clothes,65999,,6.0,,,10.0
Hafele,with In-built Heater,31490,,9.0,Fully Automatic,Front Load,3.0
Intex,NA,11990,4.2,7.5,Fully Automatic,Top Load,2.0
IFB,9/ Washer with Dryer AI Powe 30 min Steam Refresh Program 100% Dry Ready-to-Wear Clothes ...,50990,4.0,6.0,,,4.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Samsung,with In-built Heater,39999,3.7,12.0,Fully Automatic,Front Load,2.0
LG,with Wi-Fi Enabled,41990,4.3,8.0,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
IFB,Dryer,22500,,5.5,,,10.0
Godrej,NA,15124,,6.5,Fully Automatic,Top Load,
Samsung,with In-built Heater,44229,3.7,12.0,Fully Automatic,Front Load,2.0
Admiral,with In-built Heater,18399,3.0,8.0,Fully Automatic,Top Load,3.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Panasonic,with In-built Heater,44074,,13.5,Fully Automatic,Top Load,2.0
LG,with Wi-Fi Enabled with In-built Heater,38990,4.6,7.0,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Voltas,Beko with In-built Heater,25490,,9.0,Fully Automatic,Top Load,10.0
Samsung,with In-built Heater,57990,,12.0,Fully Automatic,Front Load,2.0
Samsung,with In-built Heater,58990,,12.0,Fully Automatic,Front Load,2.0
IFB,with In-built Heater,33910,3.3,8.0,Fully Automatic,Front Load,4.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Haier,with In-built Heater,43623,,10.5,Fully Automatic,Front Load,1.0
Haier,with In-built Heater,23000,,7.5,Fully Automatic,Top Load,1.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Lloyd,by Havells Purple,20500,,8.0,Semi Automatic,Top Load,2.0
Lloyd,by Havells Beige,15499,3.5,8.5,Semi Automatic,Top Load,2.0
LG,withWi-Fi Enabled,21524,,6.5,Fully Automatic,Top Load,2.0
LG,with Wi-Fi EnabledAI Direct Drive Technology with ...,49990,,11.0,Fully Automatic,Front Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
BLACK+DECKER,+DECKER with In-built Heater,29999,,9.0,Fully Automatic,Top Load,2.0
BLACK+DECKER,+DECKER with In-built Heater,27999,,8.0,Fully Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Whirlpool,with In-built Heater,39899,,6.5,Fully Automatic,Front Load,3.0
Haier,with In-built Heater,31990,,8.0,Fully Automatic,Front Load,2.0
