Brand,Model,Price,Ratings,Capacity(kg),Machine Type,Load Type,Warranty(Years)
Samsung,with Steam Wi-Fi Enabled,43990,,9.0,Fully Automatic,Front Load,2.0
MarQ,by Flipkart,11490,4.1,6.5,Fully Automatic,Top Load,2.0
Whirlpool,NA,12290,4.4,8.0,Semi Automatic,Top Load,4.0
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Voltas,Beko by A Tata Product Maroon,13875,4.0,14.0,Semi Automatic,Top Load,2.0
MOTOROLA,Purple,7990,4.3,7.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
Haier,Powerful Oceanus Wave Drum Smart Fuzzy Control Balance Clean Pulsator Custom Wash Cycles...,14990,4.3,7.0,,,
Whirlpool,with Auto Restart End of Cycle Buzzer Lint Filter and Collar Scrubber Semi Aut...,14490,4.4,9.0,,,4.0
Voltas,Beko,10290,4.3,8.0,Semi Automatic,Top Load,
Whirlpool,Bloomwash with In-built Heater,22990,4.0,9.0,Fully Automatic,Top Load,3.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Voltas,Beko Maroon,7790,4.3,6.5,Semi Automatic,Top Load,1.0
Haier,AI with Inverter Motor Puristeam and Refresh Function Anti Bacterial Technology Super Dru...,31990,4.3,8.0,,,5.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Voltas,Beko by A Tata Product with Soft Closing door Water proof IPX4 protection...,11400,4.4,9.0,,,2.0
Whirlpool,Bloomwash with In-built Heater,24990,4.0,10.0,Fully Automatic,Top Load,3.0
Haier,AI with Direct Drive Technology Puristeam and Refresh Function Anti Bacterial Technology ...,34490,4.3,9.0,,,5.0
Haier,with In-built Heater,28990,4.3,7.0,Fully Automatic,Front Load,5.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Voltas,Beko by A Tata Product,15900,4.3,14.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Voltas,Beko,20298,4.2,11.0,Fully Automatic,Top Load,1.0
Voltas,Beko by A Tata Product Maroon,13629,4.0,14.0,Semi Automatic,Top Load,2.0
LG,NA,19120,4.5,11.5,Semi Automatic,Top Load,2.0
Samsung,AI Control AI Ecobubble Super Speed Wi-Fi Hygiene Steam Digital Inverter Mo...,46222,4.3,12.0,,,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
Haier,NA,17780,4.2,8.0,Fully Automatic,Top Load,3.0
LG,NA,12385,4.4,7.5,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14590,4.2,6.5,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Haier,Oxyi Dry Technology 1300 RPM Spray Function Wash Programs Magic Filter Rat Mesh Semi A...,11990,4.3,9.0,,,3.0
realme,TechLife MegaWash Range with In-built Heater Gre...,38990,4.2,12.0,Fully Automatic,Top Load,2.0
LG,NA,18099,4.5,11.5,Semi Automatic,Top Load,2.0
VW,NA,9990,,8.0,Fully Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
LG,Roller Jet Pulsator with Soak Wind Jet Dry Technology and Rust Free Plastic Rat A...,19320,4.5,11.5,,,2.0
Voltas,Beko by A Tata Product with In-built H...,21990,4.1,6.5,Fully Automatic,Front Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
LG,with Roller Jet Pulsator with Soak � Wind Jet Dry and Rat Away (Spin Tub Capacit...,18990,4.5,11.0,,,2.0
BOSCH,with 1360 High RPM Spin Motor Multicolor,12999,4.1,8.0,Semi Automatic,Top Load,2.0
